time,channel,trace_index,temperature,mean_baseline,std_baseline,mean,std,A,rise_time,TF_ampl,TF_chi2,TF_baseline,baseline_slope,baseline_offset,time_shift,OF_ampl_0,OF_chi2_0,OF_time_0,OF_ampl_1,OF_chi2_1,OF_time_1
28869810,0,85,32747.3,131.173,5.725824918734418,5220.964019775391,2983.9593922640374,11045.827,2.6111999261502206e-05,11038.482455042315,2.243586269489944,121.58453005414412,-1.174856323432809e-05,131.19649125218712,4035,11040.103879962968,0.9931630944893531,0,11039.839291319835,0.9903350037567011,0
30062204,0,86,32748.1,126.46275,5.541670545737992,4930.313049316406,2814.0455200522956,10426.53725,2.636799925426203e-05,10409.92384346851,2.2151806010460127,121.16300673605656,0.00012453760153358323,126.2137370657337,4035,10409.629719354036,1.0217114411635997,0,10409.379773000786,1.0196434179428826,0
30161725,0,87,32748.1,129.536,5.462893372563664,4932.323822021484,2812.5353418185537,10419.464,2.636799925426203e-05,10404.335115785314,2.3594784387265637,125.83144763135351,6.936750433551571e-05,129.39729967508114,4034,10405.28246020261,1.0206928304426983,0,10404.989344357597,1.0598976027095652,0
30307857,0,88,32749.0,130.605,5.659414722389586,4935.170562744141,2814.791203181631,10422.395,2.636799925426203e-05,10412.680757876944,2.2404290828326805,124.63061133613155,-2.1858563866130755e-05,130.6487061984503,4036,10412.191682909075,1.0444801307176412,0,10411.956068068848,1.0286750475687472,0
30627431,0,89,32747.4,129.6585,5.568022786411707,4934.213836669922,2815.1354108403707,10425.3415,2.636799925426203e-05,10413.958030643884,2.08763913124822,123.17588593539404,4.712681544539795e-05,129.56426993251696,4035,10414.521945557399,0.9971417530053178,0,10414.25997533311,1.0064372359052767,0
30667643,0,90,32748.7,129.03275,5.401543986444986,4950.8516845703125,2823.910636175146,10461.96725,2.636799925426203e-05,10446.41949240851,2.1892839493355187,125.00103009361192,-5.951390996966367e-05,129.15174806298438,4035,10447.714477546628,1.0062628222157257,0,10447.46141069116,1.0062921690098978,0
30795416,0,91,32749.6,128.4475,5.452682252799993,4932.4107666015625,2813.3999195624224,10417.5525,2.636799925426203e-05,10407.533989590149,2.3365077184874656,124.4524986813376,-0.00039308702456797095,129.23347750562365,4035,10408.545370947719,1.0476896175533135,0,10408.302634878848,1.0387681139864882,0
31040892,0,92,32749.5,130.55375,5.491230366457047,4927.857818603516,2810.101838823828,10407.44625,2.636799925426203e-05,10395.334316051874,2.2730492804360107,125.49048217253221,0.0005073560004597552,129.5392916770807,4035,10395.555271298826,1.0333575225017202,0,10395.315812362564,1.0216243762964294,0
31720942,0,93,32749.7,129.1835,5.4629962246005626,4927.090881347656,2810.36222305033,10410.8165,2.636799925426203e-05,10396.300639480633,2.129101808435366,124.30587384516912,6.24480039029754e-05,129.05863521619602,4035,10396.99305949757,0.9962120200998216,0,10396.725628305,1.011100501441471,0
32040587,0,94,32749.7,128.3455,5.654301879984831,4924.817596435547,2809.235382488929,10402.6545,2.6623999247021857e-05,10392.132332547546,2.044344304288068,123.76472809649204,0.0007682662980166431,126.80935153711579,4035,10392.52743426039,0.992069427247108,0,10392.255564572088,1.0112824205320294,0
32083939,0,95,32750.2,129.6555,5.5206267533677735,4935.928985595703,2815.7702026983616,10426.3445,2.6623999247021857e-05,10416.301297050682,2.3567951011900568,123.85714208760692,-7.74412548397857e-06,129.67098437890525,4034,10416.113974476084,1.030078413496231,0,10415.823129123533,1.066905887109059,0
32416708,0,96,32749.9,128.19275,5.361352202336645,5383.860595703125,3079.55035386575,11401.80725,2.6111999261502206e-05,11392.103512258145,2.283171489199299,121.66887380475237,-0.0002925901120368996,128.77778392901777,4035,11395.381906803663,1.0111638328099959,0,11395.125315608137,0.9909044029498678,0
32452643,0,97,32750.9,125.3355,5.663165170644416,4929.162628173828,2812.811917351757,10418.6645,2.636799925426203e-05,10405.359970222256,2.183425974727298,121.99706792520374,2.091825130738927e-05,125.29367395651093,4035,10406.683104989314,1.0060691863711353,0,10406.405078668597,1.0308538118281485,0
32526382,0,98,32749.4,129.341,5.58907138977487,4935.94775390625,2815.2542027698346,10430.659,2.636799925426203e-05,10414.39749938366,2.0783450182924086,124.6859638708047,-0.0005504383469024125,130.4416014746314,4035,10415.183897946543,0.9856477426249619,0,10414.922805785352,0.9940902895723835,0
32812247,0,99,32750.3,130.05075,5.596889711035943,4927.338623046875,2809.681653167482,10404.94925,2.6623999247021857e-05,10393.783046598724,2.0741516096606545,125.5814529626914,-0.0001300272268767094,130.31073944014003,4035,10393.75102315319,1.0034403154819882,0,10393.479362846398,1.0224278696931441,0
32842641,0,101,32749.2,127.89825,5.407161634120068,4931.603485107422,2813.5616733215215,10425.10175,2.6623999247021857e-05,10408.134814596451,2.2315933780662447,123.41349004943186,-1.2030469501920321e-05,127.9223049237691,4035,10409.816088955138,0.9959135172119044,0,10409.535850599983,1.0227437804180834,0
